,,,,,,,,,
"$ millions, unless otherwise indicated",2012,2013,2014,2015,2016,2017,2018,2019,2020
Multilateral,3217.4,3151.2,3209.6,2408,3010.8,3140.4,2650.6,1300.3,1600.9
Concessional,0,0,0.6,0,0.4,0,57.2,53.9,135.2
Bilateral,321.2,607,912.8,389.6,247.6,963.3,755.5,1721.5,1711.1
Concessional,232.4,142.5,174.8,75.8,90.3,145.8,124.9,76.3,46.7
Private creditors,9486.7,8799.6,9946,6269.7,11065.8,13474.9,12437.6,14204.2,13079.9
Bonds,7927.2,7613.3,9043.6,5249.8,7498.4,11272.7,8234,11649.5,10769.7
Commercial banks,1525.5,1147.8,902.4,1019.9,3567.5,2202.2,4203.7,2554.7,2310.3
Other private,34,38.5,0,0,0,0,0,0,0
General Government,9976.3,9037.1,9600.5,4750.6,7142.3,12045.7,9466.8,13422.7,10821.4
Official creditors,1877.7,2257.2,2062.6,1278.6,1203.6,1886.8,1302.1,772,1050.2
Multilateral,1617.3,1935.5,1535,1159.7,1088,1530.7,1109.2,574.2,772.9
Concessional,0,0,0.6,0,0.4,0,57.2,53.9,135.2
Bilateral,260.4,321.7,527.7,118.9,115.6,356.1,192.9,197.8,277.3
Concessional,232.1,128.2,153,57,65.3,82,40.6,30,26.8
Private creditors,8098.6,6779.9,7537.9,3472,5938.6,10158.9,8164.7,12650.7,9771.2
Bonds,7157.9,6113.3,7234.2,2980,5501.6,9664.7,7734,11149.5,9269.7
Commercial banks,906.7,628.2,303.6,491.9,437,494.2,430.8,1501.1,501.5
Other private,34,38.5,0,0,0,0,0,0,0
Other public sector,3049,3520.6,4467.9,4316.7,7142,5417.6,6350.6,3785,5570.4
Official creditors,1660.9,1501,2059.8,1519,2014.8,2101.6,2077.7,2231.5,2261.7
Multilateral,1600.1,1215.7,1674.7,1248.2,1882.7,1494.3,1515.1,707.8,827.9
Concessional,0,0,0,0,0,0,0,0,0
Bilateral,60.8,285.3,385.2,270.7,132,607.2,562.6,1523.7,1433.8
Concessional,0.3,14.3,21.8,18.8,25,63.9,84.3,46.3,20
Private creditors,1388.1,2019.6,2408.1,2797.7,5127.2,3316,4272.9,1553.5,3308.8
Bonds,769.3,1500,1809.4,2269.8,1996.7,1608,500,500,1500
Commercial banks,618.8,519.6,598.7,527.9,3130.5,1708,3772.9,1053.5,1808.8
Other private,0,0,0,0,0,0,0,0,0
Private sector guaranteed by public sector,171.9,35.3,0,0,0,0,0,0,0
Official creditors,171.9,35.3,0,0,0,0,0,0,0
Multilateral,171.9,35.3,0,0,0,0,0,0,0
Concessional,171.9,35.3,0,0,0,0,0,0,0
Bilateral,0,0,0,0,0,0,0,0,0
Concessional,0,0,0,0,0,0,0,0,0
Private creditors,0,0,0,0,0,0,0,0,0
Bonds,0,0,0,0,0,0,0,0,0
Commercial banks,0,0,0,0,0,0,0,0,0
Other private,0,0,0,0,0,0,0,0,0
Private nonguaranteed,52110,65328.5,60828.1,28229.8,67435.9,70739.2,52724.5,41669,41669
Bonds,6965,8634.5,8049.1,2910.3,3253.3,7029.5,3055,3100,2400
Commercial banks and other,45145,56694,52779,25319.5,64182.6,63709.7,49669.5,38569,39269
Memo:,,,,,,,,,
IBRD,1513.7,1253.7,859.4,489.4,537.8,1340.5,632.4,375.2,534.5
IDA,0,0,0,0,0,0,0,0,0
Principal repayment,41325.6,46941,41473,41977.7,61603.3,69196.8,67974.3,69211.8,68665.3
Public and publicly guaranteed,5690.6,5095,7136,6531.8,8437.3,11338.6,10822.4,12898.6,12362.2
Official creditors,1760.9,1808,2099.1,1893.2,2493,3178.6,2465.1,2874.1,4819.9
Multilateral,1235.2,1312.9,1597.6,1413,1931.3,2679.2,1905.4,2324.7,2423.7
Concessional,6.3,6.5,5.9,5.2,20.2,35,42.1,38.3,54.9
Bilateral,525.7,495.1,501.5,480.2,561.7,499.4,559.7,549.4,2396.2
Concessional,115.8,112.7,122.6,145.1,177.1,167,168.8,164.5,158.5
Private creditors,3929.7,3287,5036.9,4638.6,5944.4,8160,8357.3,10024.6,7542.3
Bonds,2274.4,1500,3079,2750,4466.9,5095.5,5044.9,6659.6,5603.4
Commercial banks,1472.6,1581.9,1602.6,1616.8,1374.4,2906.4,3255.5,3334.9,1934.5
Other private,182.7,205.1,355.4,271.7,103,158.1,56.9,30,4.4
Public sector,5676.7,5070,7105.7,6502.9,8392.8,11288.1,10777,12861.6,12310.3
Official creditors,1746.9,1783,2068.8,1864.3,2448.4,3128.1,2419.7,2837,4768
Multilateral,1221.2,1287.9,1567.3,1384.2,1886.7,2628.7,1860,2287.6,2371.8
Concessional,6.3,5.3,4.8,4.2,3.5,3.5,3.5,3,3
Bilateral,525.7,495.1,501.5,480.2,561.7,499.4,559.7,549.4,2396.2
Concessional,115.8,112.7,122.6,145.1,177.1,167,168.8,164.5,158.5
Private creditors,3929.7,3287,5036.9,4638.6,5944.4,8160,8357.3,10024.6,7542.3
Bonds,2274.4,1500,3079,2750,4466.9,5095.5,5044.9,6659.6,5603.4
Commercial banks,1472.6,1581.9,1602.6,1616.8,1374.4,2906.4,3255.5,3334.9,1934.5
Other private,182.7,205.1,355.4,271.7,103,158.1,56.9,30,4.4
General Government,5214.6,4518.7,6326.6,5674.9,5010,7594.9,7387,6614,6631.7
Official creditors,1391.5,1352.7,1383.3,1256.1,1274.1,2132.3,1195.3,1524.9,1284.1
Multilateral,891.5,888,927.1,826,782,1721.2,777.6,1148.6,898.7
Concessional,6.3,5.3,4.8,4.2,3.5,3.5,3.5,3,3
Bilateral,500.1,464.7,456.2,430.1,492.1,411.1,417.7,376.3,385.4
Concessional,111.6,108.2,120.8,144.5,177.1,167,162.5,158.2,152.1
Private creditors,3823.1,3166,4943.2,4418.8,3735.9,5462.6,6191.7,5089.1,5347.6
Bonds,2274.4,1500,3079,2750,2830,3944.6,5000,4399.5,4845
Commercial banks,1409,1518.3,1559.3,1443.1,824.9,1373.4,1146.6,670.8,498.2
Other private,139.7,147.7,305,225.8,80.9,144.6,45.1,18.8,4.4
Other public sector,462.1,551.4,779.1,828,3382.8,3693.2,3390,6247.6,5666
Official creditors,355.4,430.3,685.4,608.3,1174.3,995.8,1224.3,1312.1,3471.3
Multilateral,329.7,400,640.2,558.2,1104.7,907.5,1082.4,1139.1,1460.6
Concessional,..,..,..,..,..,..,..,..,..
Bilateral,25.7,30.4,45.3,50.1,69.6,88.3,142,173.1,2010.8
Concessional,4.3,4.5,1.8,0.6,0,0,6.3,6.3,6.4
Private creditors,106.6,121,93.7,219.7,2208.5,2697.4,2165.6,4935.4,2194.7
Bonds,0,0,0,0,1636.9,1150.9,44.9,2260.1,758.4
Commercial banks,63.6,63.7,43.3,173.8,549.5,1533,2108.9,2664.1,1436.2
Other private,43.1,57.3,50.4,46,22.1,13.5,11.8,11.2,..
Private sector guaranteed by public sector,14,25,30.3,28.9,44.5,50.6,45.4,37.1,51.9
Official creditors,14,25,30.3,28.9,44.5,50.6,45.4,37.1,51.9
Multilateral,14,25,30.3,28.9,44.5,50.6,45.4,37.1,51.9
Concessional,..,1.2,1.2,1,16.7,31.5,38.6,35.3,51.9
Bilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,..,..,..,..,..,..,..,..,..
Bonds,..,..,..,..,..,..,..,..,..
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Private nonguaranteed,35635,41846,34337,35445.9,53166,57858.1,57151.9,56313.2,56303.2
Bonds,404,1965,915,2393.5,1977.9,3740.4,4491.3,4987.7,6987
Commercial banks,35231,39881,33422,33052.4,51188,54117.8,52660.6,51325.4,49316.1
Memo:,,,,,,,,,
IBRD,749,797.5,828.9,751.3,1178.8,1152.4,624.3,544.4,631
IDA,5.9,4.9,4.4,3.5,3,3,3,2.6,2.6
Net flows on debt,23981.6,30980.6,33423.6,-4680.7,20156.8,19121,594,-10316.8,-10604.5
Public and publicly guaranteed,7506.6,7498.1,6932.5,2535.4,5886.9,6240,5021.4,4327.4,4029.7
Official creditors,1949.7,1985.5,2023.4,904.3,765.4,925,941,147.8,-1508
Multilateral,2154.2,1873.6,1612,994.9,1079.5,461.2,745.2,-1024.4,-822.8
Concessional,165.7,28.9,-5.4,-5.2,-19.8,-35,15.1,15.6,80.2
Bilateral,-204.5,111.9,411.4,-90.6,-314.1,463.9,195.8,1172.1,-685.1
Concessional,116.5,29.8,52.1,-69.3,-86.8,-21.2,-43.9,-88.2,-111.8
Private creditors,5557,5512.6,4909.1,1631.1,5121.5,5314.9,4080.3,4179.7,5537.7
Bonds,5652.8,6113.3,5964.6,2499.8,3031.4,6177.3,3189.1,4989.9,5166.2
Commercial banks,52.8,-434.2,-700.2,-597,2193.1,-704.2,948.2,-780.3,375.8
Other private creditors,-148.7,-166.5,-355.4,-271.7,-103,-158.1,-56.9,-30,-4.4
Public sector,7348.7,7487.7,6962.7,2564.3,5931.4,6290.5,5066.8,4364.5,4081.6
Official creditors,1791.7,1975.1,2053.7,933.2,810,975.6,986.5,184.8,-1456.1
Multilateral,1996.2,1863.3,1642.3,1023.8,1124.1,511.7,790.6,-987.3,-770.9
Concessional,-6.3,-5.3,-4.2,-4.2,-3.1,-3.5,53.7,50.9,132.2
Bilateral,-204.5,111.9,411.4,-90.6,-314.1,463.9,195.8,1172.1,-685.1
Concessional,116.5,29.8,52.1,-69.3,-86.8,-21.2,-43.9,-88.2,-111.8
Private creditors,5557,5512.6,4909.1,1631.1,5121.5,5314.9,4080.3,4179.7,5537.7
Bonds,5652.8,6113.3,5964.6,2499.8,3031.4,6177.3,3189.1,4989.9,5166.2
Commercial banks,52.8,-434.2,-700.2,-597,2193.1,-704.2,948.2,-780.3,375.8
Other private,-148.7,-166.5,-355.4,-271.7,-103,-158.1,-56.9,-30,-4.4
General Government,4761.7,4518.4,3274,-924.3,2132.3,4450.8,2079.8,6808.7,4189.7
Official creditors,486.2,904.5,679.3,22.5,-70.5,-245.5,106.8,-752.8,-233.9
Multilateral,725.8,1047.5,607.9,333.8,306,-190.5,331.5,-574.3,-125.8
Concessional,-6.3,-5.3,-4.2,-4.2,-3.1,-3.5,53.7,50.9,132.2
Bilateral,-239.6,-143,71.5,-311.3,-376.5,-55.1,-224.8,-178.5,-108.1
Concessional,120.5,20,32.2,-87.5,-111.8,-85,-122,-128.2,-125.4
Private creditors,4275.5,3614,2594.6,-946.9,2202.8,4696.3,1973.1,7561.5,4423.6
Bonds,4883.5,4613.3,4155.2,230,2671.6,5720.1,2734,6750,4424.7
Commercial banks,-502.4,-890.1,-1255.6,-951.1,-387.9,-879.2,-715.8,830.3,3.3
Other private,-105.6,-109.2,-305,-225.8,-80.9,-144.6,-45.1,-18.8,-4.4
Other public sector,2587,2969.2,3688.8,3488.7,3759.2,1724.4,2960.6,-2462.5,-95.6
Official creditors,1305.5,1070.6,1374.4,910.7,840.5,1105.8,853.3,919.4,-1209.7
Multilateral,1270.4,815.7,1034.5,690,778.1,586.8,432.7,-431.3,-632.6
Concessional,..,..,..,..,..,..,..,..,..
Bilateral,35.1,254.9,339.9,220.7,62.4,518.9,420.6,1350.7,-577
Concessional,-4,9.8,20,18.1,25,63.9,78.1,40,13.6
Private creditors,1281.5,1898.6,2314.4,2578,2918.7,618.6,2107.3,-3381.9,1114.1
Bonds,769.3,1500,1809.4,2269.8,359.8,457.1,455.1,-1760.1,741.6
Commercial banks,555.2,455.9,555.4,354.2,2581,175,1664,-1610.6,372.5
Other private,-43.1,-57.4,-50.4,-46,-22.1,-13.5,-11.8,-11.2,..
Private sector guaranteed by public sector,158,10.4,-30.3,-28.9,-44.5,-50.6,-45.4,-37.1,-51.9
Official creditors,158,10.4,-30.3,-28.9,-44.5,-50.6,-45.4,-37.1,-51.9
Multilateral,158,10.4,-30.3,-28.9,-44.5,-50.6,-45.4,-37.1,-51.9
Concessional,171.9,34.2,-1.2,-1,-16.7,-31.5,-38.6,-35.3,-51.9
Bilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,..,..,..,..,..,..,..,..,..
Bonds,..,..,..,..,..,..,..,..,..
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Private nonguaranteed,16475,23482.5,26491.1,-7216.2,14269.9,12881,-4427.3,-14644.2,-14634.2
Bonds,6561,6669.5,7134.1,516.8,1275.4,3289.1,-1436.3,-1887.7,-4587
Commercial banks and other,9914,16813,19357,-7732.9,12994.6,9591.9,-2991.1,-12756.5,-10047.1
Memo:,,,,,,,,,
IBRD,764.6,456.2,30.5,-261.9,-641,188.2,8.1,-169.2,-96.5
IDA,-5.9,-4.9,-4.4,-3.5,-3,-3,-3,-2.6,-2.6
Interest payments,8551.3,9371.2,9937,10194.2,10934,12098.2,11523.4,12620.7,12674.5
Public and publicly guaranteed,4762.5,4533.9,4611.3,4396.3,4498.9,4875.1,4876.4,5491.8,5650.6
Official creditors,628.4,565.8,585.1,497.8,517.5,548.9,605.3,698.4,662.4
Multilateral,510,470.4,489.5,409.3,425.3,459.9,498.3,551.8,487
Concessional,6.2,5.6,4.5,3.7,3.5,3.8,4.1,3.8,2.6
Bilateral,118.3,95.4,95.6,88.5,92.2,89,107,146.6,175.4
Concessional,30.7,28.3,27.1,23.1,23.5,22,21.6,20.6,19.9
Private creditors,4134.1,3968.1,4026.2,3898.5,3981.4,4326.2,4271.1,4793.4,4988.2
Bonds,3506.7,3442.6,3640.8,3641.1,3755.2,4098.9,4063.8,4507.4,4767.6
Commercial banks,586.3,492.6,360.2,245.3,219.7,223.6,205.9,285.7,220.6
Other private,41.1,32.9,25.2,12.1,6.5,3.7,1.3,0.4,0
Public sector,4754.4,4527.5,4606.2,4392.3,4495.2,4871.3,4872.4,5488.1,5648.1
Official creditors,620.3,559.4,580,493.8,513.7,545.1,601.3,694.7,659.9
Multilateral,501.9,464,484.3,405.3,421.6,456.1,494.2,548.1,484.5
Concessional,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0
Bilateral,118.3,95.4,95.6,88.5,92.2,89,107,146.6,175.4
Concessional,30.7,28.3,27.1,23.1,23.5,22,21.6,20.6,19.9
Private creditors,4134.1,3968.1,4026.2,3898.5,3981.4,4326.2,4271.1,4793.4,4988.2
Bonds,3506.7,3442.6,3640.8,3641.1,3755.2,4098.9,4063.8,4507.4,4767.6
Commercial banks,586.3,492.6,360.2,245.3,219.7,223.6,205.9,285.7,220.6
Other private,41.1,32.9,25.2,12.1,6.5,3.7,1.3,0.4,0
General Government,4240.9,4006.2,4143.4,3963,4000.6,4283.7,4289.8,4578.8,4880.8
Official creditors,493,440.1,443.2,377.2,366.5,365.6,348.3,350.9,337.2
Multilateral,380.1,350.3,361.7,305.8,297.7,303.6,287.8,295.9,282.9
Concessional,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0
Bilateral,112.9,89.8,81.5,71.4,68.8,62,60.5,55,54.4
Concessional,30.5,28.2,27,22.8,22.8,21.1,20.5,19.1,18.3
Private creditors,3747.9,3566,3700.2,3585.8,3634.1,3918.1,3941.5,4227.9,4543.6
Bonds,3464.2,3320.6,3492.3,3443.9,3509.9,3791.5,3833.3,4132.3,4432.5
Commercial banks,253.6,220.6,188,132.4,118.2,123,106.9,95.3,111.1
Other private,30.1,24.9,19.9,9.5,6,3.6,1.3,0.3,0
Other public sector,210.9,296.3,353.3,370.1,456.8,585.8,577.6,901.8,762.1
Official creditors,127.3,119.3,136.8,116.6,146.1,178.1,248.3,336.7,318
Multilateral,121.9,113.7,122.7,99.5,122.8,151.1,201.8,245.1,196.9
Concessional,..,..,..,..,..,..,..,..,..
Bilateral,5.4,5.5,14.1,17.1,23.3,27,46.5,91.6,121
Concessional,0.2,0.1,0.1,0.4,0.7,0.9,1.1,1.4,1.5
Private creditors,83.6,177.1,216.5,253.5,310.7,407.7,329.2,565.1,444.1
Bonds,42.5,122,148.4,197.2,245.3,307.4,230.6,375.1,335.1
Commercial banks,30.1,47,62.7,53.7,64.9,100.2,98.6,190,109
Other private,11,8,5.3,2.6,0.5,0.1,0.1,0,..
Private sector guaranteed by public sector,8.1,6.4,5.2,4,3.7,3.8,4.1,3.8,2.5
Official creditors,8.1,6.4,5.2,4,3.7,3.8,4.1,3.8,2.5
Multilateral,8.1,6.4,5.2,4,3.7,3.8,4.1,3.8,2.5
Concessional,5.9,5.4,4.4,3.5,3.4,3.7,4,3.7,2.5
Bilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,..,..,..,..,..,..,..,..,..
Bonds,..,..,..,..,..,..,..,..,..
