,,,,,,,,,
"$ millions, unless otherwise indicated",2012,2013,2014,2015,2016,2017,2018,2019,2020
Other public sector,0,0,80.2,143,52.7,51.7,73.5,11.3,30.5
Official creditors,0,0,80.2,143,52.7,51.7,73.5,11.3,30.5
Multilateral,0,0,80.2,143,52.7,51.7,73.5,11.3,30.5
Concessional,0,0,80.2,143,52.7,51.7,73.5,11.3,30.5
Bilateral,0,0,0,0,0,0,0,0,0
Concessional,0,0,0,0,0,0,0,0,0
Private creditors,0,0,0,0,0,0,0,0,0
Bonds,0,0,0,0,0,0,0,0,0
Commercial banks,0,0,0,0,0,0,0,0,0
Other private,0,0,0,0,0,0,0,0,0
Private sector guaranteed by public sector,0,0,0,0,0,0,0,0,0
Official creditors,0,0,0,0,0,0,0,0,0
Multilateral,0,0,0,0,0,0,0,0,0
Concessional,0,0,0,0,0,0,0,0,0
Bilateral,0,0,0,0,0,0,0,0,0
Concessional,0,0,0,0,0,0,0,0,0
Private creditors,0,0,0,0,0,0,0,0,0
Bonds,0,0,0,0,0,0,0,0,0
Commercial banks,0,0,0,0,0,0,0,0,0
Other private,0,0,0,0,0,0,0,0,0
Private nonguaranteed,751.9,1404.1,7058,3889.7,4400.8,4987.9,5276.9,6516.6,7849.4
Bonds,350,1275,2350,800,1167.3,1400,350,1300,500
Commercial banks and other,401.9,129.1,4708,3089.7,3233.5,3587.9,4926.9,5216.6,7349.4
Memo:,,,,,,,,,
IBRD,0,0,0,3.6,0.3,120.3,0,285.3,0.5
IDA,526.5,740.4,926.1,794.9,787.6,825.5,951.8,1332.7,1252.6
Principal repayment,1192.5,225.5,4277.6,1124.7,1849.5,2706.9,3954.1,3275.5,3671
Public and publicly guaranteed,157.9,225.5,137.9,114.8,179.8,137.3,735.2,295.2,440.7
Official creditors,157.9,225.5,137.9,114.8,179.8,137.3,235.2,295.2,440.7
Multilateral,86.1,146.8,96.9,94.8,159.8,117.3,152.1,205,285.2
Concessional,53.3,120.3,80.8,83.2,148.2,101.2,114.4,133.6,149.8
Bilateral,71.9,78.7,40.9,20,20,20,83,90.3,155.4
Concessional,..,..,..,..,..,..,0,13.4,27.9
Private creditors,..,..,..,..,..,..,500,..,..
Bonds,..,..,..,..,..,..,500,..,..
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Public sector,157.9,225.5,137.9,114.8,179.8,137.3,735.2,295.2,440.7
Official creditors,157.9,225.5,137.9,114.8,179.8,137.3,235.2,295.2,440.7
Multilateral,86.1,146.8,96.9,94.8,159.8,117.3,152.1,205,285.2
Concessional,53.3,120.3,80.8,83.2,148.2,101.2,114.4,133.6,149.8
Bilateral,71.9,78.7,40.9,20,20,20,83,90.3,155.4
Concessional,..,..,..,..,..,..,0,13.4,27.9
Private creditors,..,..,..,..,..,..,500,..,..
Bonds,..,..,..,..,..,..,500,..,..
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
General Government,157.9,225.5,137.9,114.8,179.8,137.3,735.2,295.2,440.7
Official creditors,157.9,225.5,137.9,114.8,179.8,137.3,235.2,295.2,440.7
Multilateral,86.1,146.8,96.9,94.8,159.8,117.3,152.1,205,285.2
Concessional,53.3,120.3,80.8,83.2,148.2,101.2,114.4,133.6,149.8
Bilateral,71.9,78.7,40.9,20,20,20,83,90.3,155.4
Concessional,..,..,..,..,..,..,0,13.4,27.9
Private creditors,..,..,..,..,..,..,500,..,..
Bonds,..,..,..,..,..,..,500,..,..
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Other public sector,..,..,0,0,0,0,0,..,0
Official creditors,..,..,0,0,0,0,0,..,0
Multilateral,..,..,0,0,0,0,0,..,0
Concessional,..,..,0,0,0,0,0,..,0
Bilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,..,..,..,..,..,..,..,..,..
Bonds,..,..,..,..,..,..,..,..,..
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Private sector guaranteed by public sector,..,..,..,..,..,..,..,..,..
Official creditors,..,..,..,..,..,..,..,..,..
Multilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Bilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,..,..,..,..,..,..,..,..,..
Bonds,..,..,..,..,..,..,..,..,..
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Private nonguaranteed,1034.5,..,4139.8,1009.9,1669.7,2569.6,3218.9,2980.3,3230.3
Bonds,..,..,..,..,500,400,1275,950,1050
Commercial banks,1034.5,..,4139.8,1009.9,1169.7,2169.6,1943.9,2030.3,2180.3
Memo:,,,,,,,,,
IBRD,6.9,..,..,0,0,0,0,..,0
IDA,47.2,109.8,68.5,72.8,137.7,87.6,101.3,143.1,194.8
Net flows on debt,392.7,3048.5,4690.4,4201.3,3688.8,9412,8696.3,5936.4,6343
Public and publicly guaranteed,675.3,1644.4,1772.2,1321.5,957.7,6993.7,6638.3,2400.1,1723.9
Official creditors,675.3,1144.4,1272.2,1321.5,957.7,2193.7,1770,2400.1,1723.9
Multilateral,489.8,897.7,878.8,1076.7,707,1713.3,1040.6,1671.7,1365.5
Concessional,512.2,768.8,682.9,565.1,283.7,508.5,344.3,175.2,-39.8
Bilateral,185.5,246.6,393.4,244.9,250.7,480.4,729.4,728.4,358.4
Concessional,..,..,56.9,83.3,50.3,141.2,108,15.3,9.2
Private creditors,..,500,500,0,0,4800,4868.4,..,0
Bonds,..,500,500,0,0,4800,4868.4,..,0
Commercial banks,..,..,..,..,..,..,..,..,..
Other private creditors,..,..,..,..,..,..,..,..,..
Public sector,675.3,1644.4,1772.2,1321.5,957.7,6993.7,6638.3,2400.1,1723.9
Official creditors,675.3,1144.4,1272.2,1321.5,957.7,2193.7,1770,2400.1,1723.9
Multilateral,489.8,897.7,878.8,1076.7,707,1713.3,1040.6,1671.7,1365.5
Concessional,512.2,768.8,682.9,565.1,283.7,508.5,344.3,175.2,-39.8
Bilateral,185.5,246.6,393.4,244.9,250.7,480.4,729.4,728.4,358.4
Concessional,..,..,56.9,83.3,50.3,141.2,108,15.3,9.2
Private creditors,..,500,500,0,0,4800,4868.4,..,0
Bonds,..,500,500,0,0,4800,4868.4,..,0
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
General Government,675.3,1644.4,1692,1178.6,904.9,6942,6564.8,2388.8,1693.4
Official creditors,675.3,1144.4,1192,1178.6,904.9,2142,1696.5,2388.8,1693.4
Multilateral,489.8,897.7,798.6,933.7,654.2,1661.6,967.1,1660.4,1334.9
Concessional,512.2,768.8,602.7,422.1,231,456.9,270.8,163.9,-70.3
Bilateral,185.5,246.6,393.4,244.9,250.7,480.4,729.4,728.4,358.4
Concessional,..,..,56.9,83.3,50.3,141.2,108,15.3,9.2
Private creditors,..,500,500,0,0,4800,4868.4,..,0
Bonds,..,500,500,0,0,4800,4868.4,..,0
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Other public sector,..,0,80.2,143,52.7,51.7,73.5,11.3,30.5
Official creditors,..,0,80.2,143,52.7,51.7,73.5,11.3,30.5
Multilateral,..,0,80.2,143,52.7,51.7,73.5,11.3,30.5
Concessional,..,0,80.2,143,52.7,51.7,73.5,11.3,30.5
Bilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,..,..,..,..,..,..,..,..,..
Bonds,..,..,..,..,..,..,..,..,..
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Private sector guaranteed by public sector,..,..,..,..,..,..,..,..,..
Official creditors,..,..,..,..,..,..,..,..,..
Multilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Bilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,..,..,..,..,..,..,..,..,..
Bonds,..,..,..,..,..,..,..,..,..
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Private nonguaranteed,-282.7,1404.1,2918.2,2879.7,2731.1,2418.3,2058,3536.3,4619.1
Bonds,350,1275,2350,800,667.3,1000,-925,350,-550
Commercial banks and other,-632.7,129.1,568.2,2079.7,2063.8,1418.3,2983,3186.3,5169.1
Memo:,,,,,,,,,
IBRD,-6.9,..,..,3.6,0.3,120.3,0,285.3,0.5
IDA,479.3,630.6,857.7,722.1,649.8,737.9,850.5,1189.6,1057.7
Interest payments,144,266.8,266.9,476,640.2,822,1412.1,1832.4,1847
Public and publicly guaranteed,93.8,167.8,126.1,282.3,174.9,206.7,699.1,1095.8,1116.1
Official creditors,60,70.6,80.4,233.6,111.2,142.9,195.8,308,274.8
Multilateral,41.3,45.1,51,58.3,68.6,91.5,122.1,149.8,173
Concessional,36.6,41.8,48.2,48.3,51.2,54.2,60.9,60.2,61.6
Bilateral,18.7,25.5,29.3,175.2,42.6,51.5,73.7,158.3,101.8
Concessional,..,..,1,140.1,3.1,4.3,15,14,12
Private creditors,33.8,97.2,45.8,48.8,63.8,63.8,503.4,787.8,841.3
Bonds,33.8,97.2,45.8,48.8,63.8,63.8,503.4,787.8,841.3
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Public sector,93.8,167.8,126.1,282.3,174.9,206.7,699.1,1095.8,1116.1
Official creditors,60,70.6,80.4,233.6,111.2,142.9,195.8,308,274.8
Multilateral,41.3,45.1,51,58.3,68.6,91.5,122.1,149.8,173
Concessional,36.6,41.8,48.2,48.3,51.2,54.2,60.9,60.2,61.6
Bilateral,18.7,25.5,29.3,175.2,42.6,51.5,73.7,158.3,101.8
Concessional,..,..,1,140.1,3.1,4.3,15,14,12
Private creditors,33.8,97.2,45.8,48.8,63.8,63.8,503.4,787.8,841.3
Bonds,33.8,97.2,45.8,48.8,63.8,63.8,503.4,787.8,841.3
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
General Government,93.8,167.8,125.9,281.4,173.2,204.6,696.7,1092.9,1113.1
Official creditors,60,70.6,80.2,232.7,109.4,140.9,193.3,305,271.7
Multilateral,41.3,45.1,50.8,57.4,66.8,89.4,119.6,146.8,169.9
Concessional,36.6,41.8,48,47.4,49.4,52.2,58.4,57.2,58.5
Bilateral,18.7,25.5,29.3,175.2,42.6,51.5,73.7,158.3,101.8
Concessional,..,..,1,140.1,3.1,4.3,15,14,12
Private creditors,33.8,97.2,45.8,48.8,63.8,63.8,503.4,787.8,841.3
Bonds,33.8,97.2,45.8,48.8,63.8,63.8,503.4,787.8,841.3
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Other public sector,..,..,0.2,0.9,1.8,2.1,2.5,3,3
Official creditors,..,..,0.2,0.9,1.8,2.1,2.5,3,3
Multilateral,..,..,0.2,0.9,1.8,2.1,2.5,3,3
Concessional,..,..,0.2,0.9,1.8,2.1,2.5,3,3
Bilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,..,..,..,..,..,..,..,..,..
Bonds,..,..,..,..,..,..,..,..,..
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Private sector guaranteed by public sector,..,..,..,..,..,..,..,..,..
Official creditors,..,..,..,..,..,..,..,..,..
Multilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Bilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,..,..,..,..,..,..,..,..,..
Bonds,..,..,..,..,..,..,..,..,..
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Private nonguaranteed,50.2,99.1,140.7,193.7,465.3,615.3,712.9,736.6,730.9
Bonds,50.2,99.1,140.7,192.9,369.6,502.8,536.7,468.3,510.6
Commercial banks and other,..,..,..,0.8,95.7,112.5,176.2,268.3,220.3
Memo:,,,,,,,,,
IBRD,0.1,..,..,1.3,0.1,0.9,4.1,8.4,12.7
IDA,31.5,35.4,41.3,46.7,55.4,64,76.8,87.5,110.3
Net transfers on debt,248.7,2781.7,4423.5,3725.3,3048.5,8590.1,7284.2,4104,4496
Public and publicly guaranteed,581.6,1476.6,1646.1,1039.2,782.7,6787,5939.2,1304.3,607.8
Official creditors,615.3,1073.8,1191.8,1088,846.5,2050.8,1574.2,2092.1,1449.1
Multilateral,448.6,852.6,827.7,1018.3,638.4,1621.8,918.5,1522,1192.5
Concessional,475.6,727,634.7,516.8,232.5,454.3,283.4,115,-101.4
Bilateral,166.7,221.2,364.1,69.6,208.1,429,655.7,570.1,256.6
Concessional,..,..,55.9,-56.8,47.2,136.9,93,1.2,-2.7
Private creditors,-33.8,402.8,454.3,-48.8,-63.8,4736.3,4365,-787.8,-841.3
Bonds,-33.8,402.8,454.3,-48.8,-63.8,4736.3,4365,-787.8,-841.3
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Public sector,581.6,1476.6,1646.1,1039.2,782.7,6787,5939.2,1304.3,607.8
Official creditors,615.3,1073.8,1191.8,1088,846.5,2050.8,1574.2,2092.1,1449.1
Multilateral,448.6,852.6,827.7,1018.3,638.4,1621.8,918.5,1522,1192.5
Concessional,475.6,727,634.7,516.8,232.5,454.3,283.4,115,-101.4
Bilateral,166.7,221.2,364.1,69.6,208.1,429,655.7,570.1,256.6
Concessional,..,..,55.9,-56.8,47.2,136.9,93,1.2,-2.7
Private creditors,-33.8,402.8,454.3,-48.8,-63.8,4736.3,4365,-787.8,-841.3
Bonds,-33.8,402.8,454.3,-48.8,-63.8,4736.3,4365,-787.8,-841.3
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
General Government,581.6,1476.6,1566.1,897.2,731.7,6737.4,5868.2,1296,580.3
Official creditors,615.3,1073.8,1111.8,945.9,795.5,2001.2,1503.2,2083.8,1421.6
Multilateral,448.6,852.6,747.7,876.3,587.4,1572.2,847.5,1513.6,1165
Concessional,475.6,727,554.7,374.8,181.5,404.7,212.3,106.7,-128.9
Bilateral,166.7,221.2,364.1,69.6,208.1,429,655.7,570.1,256.6
Concessional,..,..,55.9,-56.8,47.2,136.9,93,1.2,-2.7
Private creditors,-33.8,402.8,454.3,-48.8,-63.8,4736.3,4365,-787.8,-841.3
Bonds,-33.8,402.8,454.3,-48.8,-63.8,4736.3,4365,-787.8,-841.3
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Other public sector,..,0,80,142,51,49.6,71,8.3,27.5
Official creditors,..,0,80,142,51,49.6,71,8.3,27.5
Multilateral,..,0,80,142,51,49.6,71,8.3,27.5
Concessional,..,0,80,142,51,49.6,71,8.3,27.5
Bilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,..,..,..,..,..,..,..,..,..
Bonds,..,..,..,..,..,..,..,..,..
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Private sector guaranteed by public sector,..,..,..,..,..,..,..,..,..
Official creditors,..,..,..,..,..,..,..,..,..
Multilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Bilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,..,..,..,..,..,..,..,..,..
Bonds,..,..,..,..,..,..,..,..,..
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Private nonguaranteed,-332.9,1305.1,2777.5,2686.1,2265.8,1803,1345,2799.7,3888.2
Bonds,299.8,1175.9,2209.3,607.1,297.8,497.2,-1461.7,-118.3,-1060.6
Commercial banks and other,-632.7,129.1,568.2,2079,1968.1,1305.9,2806.7,2918,4948.8
Memo:,,,,,,,,,
IBRD,-7,..,..,2.3,0.2,119.4,-4.1,276.9,-12.2
IDA,447.8,595.2,816.4,675.4,594.4,673.9,773.8,1102.1,947.4
Debt service,1336.4,492.3,4544.5,1600.7,2489.7,3528.8,5366.2,5107.9,5517.9
Public and publicly guaranteed,251.7,393.3,264,397.1,354.7,344,1434.3,1391.1,1556.8
Official creditors,218,296.1,218.3,348.4,291,280.2,430.9,603.2,715.4
