,,,,,,,,,
"$ millions, unless otherwise indicated",2012,2013,2014,2015,2016,2017,2018,2019,2020
Official creditors,3195.9,3881.2,3137.7,5277.1,4281.5,3522.3,6114.1,4503.1,9199.4
Multilateral,2045.4,1801.5,1644.2,3879.7,2969.2,2045.5,3416.3,3681.9,4690.9
Concessional,87.8,35,5.7,7.6,2.8,0,14.9,68.2,61.8
Bilateral,1150.5,2079.8,1493.4,1397.4,1312.4,1476.8,2697.8,821.2,4508.5
Concessional,718.8,562,492.8,443.7,480.2,486.9,525.4,389.1,1104.2
Private creditors,25674.8,9458.6,25026.8,21984.4,22387.3,24012.2,24945.9,27153,21634.6
Bonds,25463.8,8647,20590.9,16403.1,19003.5,23098.3,18484.6,26436.2,19196
Commercial banks,210.9,811.6,1526.9,581.5,538.1,793.2,5316,716.8,2365.1
Other private,0,0,2909,4999.8,2845.7,120.7,1145.3,0,73.5
General Government,25370.7,9593.9,22955.4,20160.4,23902.7,24689.6,15821.6,25949.6,21355
Official creditors,3195.9,3881.2,3137.7,5277.1,4281.5,3522.3,6114.1,4503.1,9199.4
Multilateral,2045.4,1801.5,1644.2,3879.7,2969.2,2045.5,3416.3,3681.9,4690.9
Concessional,87.8,35,5.7,7.6,2.8,0,14.9,68.2,61.8
Bilateral,1150.5,2079.8,1493.4,1397.4,1312.4,1476.8,2697.8,821.2,4508.5
Concessional,718.8,562,492.8,443.7,480.2,486.9,525.4,389.1,1104.2
Private creditors,22174.8,5712.6,19817.8,14883.3,19621.2,21167.3,9707.5,21446.5,12155.6
Bonds,21963.8,4901,18590.9,14267.3,19003.5,20598.3,9144,20729.6,10846
Commercial banks,210.9,811.6,1226.9,581.5,538.1,569,563.6,716.8,1236.1
Other private,0,0,0,34.5,79.6,0,0,0,73.5
Other public sector,3500,3746,5209,7101,2766.1,2844.9,15238.3,5706.6,9479.1
Official creditors,0,0,0,0,0,0,0,0,0
Multilateral,0,0,0,0,0,0,0,0,0
Concessional,0,0,0,0,0,0,0,0,0
Bilateral,0,0,0,0,0,0,0,0,0
Concessional,0,0,0,0,0,0,0,0,0
Private creditors,3500,3746,5209,7101,2766.1,2844.9,15238.3,5706.6,9479.1
Bonds,3500,3746,2000,2135.8,0,2500,9340.6,5706.6,8350
Commercial banks,0,0,300,0,0,224.3,4752.4,0,1129.1
Other private,0,0,2909,4965.3,2766.1,120.7,1145.3,0,0
Private sector guaranteed by public sector,0,0,0,0,0,0,0,0,0
Official creditors,0,0,0,0,0,0,0,0,0
Multilateral,0,0,0,0,0,0,0,0,0
Concessional,0,0,0,0,0,0,0,0,0
Bilateral,0,0,0,0,0,0,0,0,0
Concessional,0,0,0,0,0,0,0,0,0
Private creditors,0,0,0,0,0,0,0,0,0
Bonds,0,0,0,0,0,0,0,0,0
Commercial banks,0,0,0,0,0,0,0,0,0
Other private,0,0,0,0,0,0,0,0,0
Private nonguaranteed,36760.5,37236.9,41793,40712.8,41413.8,51081,41026.3,63122.3,34837.8
Bonds,1469.9,2590,1215.2,1141.8,1198.7,7194.5,2596,2802,3255
Commercial banks and other,35290.6,34646.9,40577.8,39570.9,40215.1,43886.5,38430.3,60320.3,31582.8
Memo:,,,,,,,,,
IBRD,1199.1,1204.2,1135.4,2432.3,1611.4,1049.7,1286.8,1658.1,1639.4
IDA,25.4,4.7,0,0,0,0,0,0,0
Principal repayment,30853.5,33132.1,51211.2,43130.5,53835.1,46883.8,42904.7,68392.4,52577.4
Public and publicly guaranteed,6429.7,7664.2,23903.3,9025.9,10028.8,11764.6,10613.7,13235.1,18469.1
Official creditors,5122.3,4889.2,4975,4551.2,4753.6,4427.3,4712.8,5430.3,5221.2
Multilateral,1698,1865.5,1567.4,1256.7,1374.3,1309.7,1630.8,2327.5,2541.5
Concessional,160.3,222,227.7,249.6,289.6,277.5,283.2,269,264.3
Bilateral,3424.3,3023.8,3407.6,3294.5,3379.4,3117.6,3082,3102.9,2679.7
Concessional,341.3,338.8,403.1,420.5,493.7,527.8,550.2,564.1,593.4
Private creditors,1307.4,2775,18928.3,4474.7,5275.2,7337.3,5900.9,7804.7,13247.9
Bonds,230,1700,18003.8,2095,887,2915,2646.2,4144.9,10393.2
Commercial banks,826.4,832.6,682.2,768.2,1034.1,1140.7,1135.4,1940,2288.1
Other private,251,242.4,242.3,1611.6,3354,3281.6,2119.3,1719.8,566.7
Public sector,6429.7,7664.2,23903.3,9025.9,10028.8,11764.6,10613.7,13235.1,18469.1
Official creditors,5122.3,4889.2,4975,4551.2,4753.6,4427.3,4712.8,5430.3,5221.2
Multilateral,1698,1865.5,1567.4,1256.7,1374.3,1309.7,1630.8,2327.5,2541.5
Concessional,160.3,222,227.7,249.6,289.6,277.5,283.2,269,264.3
Bilateral,3424.3,3023.8,3407.6,3294.5,3379.4,3117.6,3082,3102.9,2679.7
Concessional,341.3,338.8,403.1,420.5,493.7,527.8,550.2,564.1,593.4
Private creditors,1307.4,2775,18928.3,4474.7,5275.2,7337.3,5900.9,7804.7,13247.9
Bonds,230,1700,18003.8,2095,887,2915,2646.2,4144.9,10393.2
Commercial banks,826.4,832.6,682.2,768.2,1034.1,1140.7,1135.4,1940,2288.1
Other private,251,242.4,242.3,1611.6,3354,3281.6,2119.3,1719.8,566.7
General Government,5430.3,7044.8,23249.1,5568.4,5951.1,5961.1,7858.2,10178.4,15905
Official creditors,4868.9,4760.1,4721.7,4277.1,4474.4,4148.1,4433.5,5151.1,5221.2
Multilateral,1698,1865.5,1567.4,1256.7,1374.3,1309.7,1630.8,2327.5,2541.5
Concessional,160.3,222,227.7,249.6,289.6,277.5,283.2,269,264.3
Bilateral,3170.9,2894.7,3154.3,3020.4,3100.1,2838.4,2802.7,2823.6,2679.7
Concessional,341.3,338.8,403.1,420.5,493.7,527.8,550.2,564.1,593.4
Private creditors,561.4,2284.7,18527.4,1291.2,1476.7,1813.1,3424.6,5027.3,10683.9
Bonds,0,1700,18003.8,700,837,965,2531.2,4144.9,9857.4
Commercial banks,500.4,532.3,471.3,545.1,596.6,803.2,857.9,845.5,792.4
Other private,61,52.4,52.3,46.1,43.1,44.9,35.6,36.9,34.1
Other public sector,863.4,509.1,633.4,3424.5,4030.2,5756,2708,3009.1,2564
Official creditors,253.4,129.1,253.4,274.1,279.2,279.2,279.2,279.2,..
Multilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Bilateral,253.4,129.1,253.4,274.1,279.2,279.2,279.2,279.2,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,610,380,380,3150.5,3751,5476.7,2428.8,2729.9,2564
Bonds,230,..,..,1395,50,1950,115,..,535.8
Commercial banks,190,190,190,190,390,290,230,1047,1495.7
Other private,190,190,190,1565.4,3310.9,3236.7,2083.7,1682.9,532.6
Private sector guaranteed by public sector,..,..,..,..,..,..,..,..,..
Official creditors,..,..,..,..,..,..,..,..,..
Multilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Bilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,..,..,..,..,..,..,..,..,..
Bonds,..,..,..,..,..,..,..,..,..
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Private nonguaranteed,24423.8,25467.9,27307.9,34104.6,43806.3,35119.2,32291,55157.3,34108.3
Bonds,1560.2,510,715,130,2171.6,6121,1938.4,1325.9,1565
Commercial banks,22863.7,24957.9,26592.9,33974.6,41634.6,28998.2,30352.7,53831.4,32543.3
Memo:,,,,,,,,,
IBRD,448.7,327.5,291.6,237.5,232.8,246.8,519.6,851.1,975.8
IDA,104,111.5,111.2,134.5,157.7,157.7,172.8,190,191.4
Net flows on debt,34777.7,17444.6,18746.2,24843.7,14247.6,31731.7,29181.6,26386.1,13094.5
Public and publicly guaranteed,22441,5675.6,4261.1,18235.5,16640.1,15769.9,20446.3,18421.1,12365
Official creditors,-1926.3,-1008,-1837.3,725.9,-472.1,-905,1401.3,-927.2,3978.3
Multilateral,347.4,-64,76.8,2623,1594.9,735.8,1785.5,1354.4,2149.4
Concessional,-72.5,-187.1,-222.1,-242,-286.7,-277.5,-268.3,-200.8,-202.6
Bilateral,-2273.8,-944,-1914.2,-1897.1,-2067,-1640.8,-384.1,-2281.6,1828.8
Concessional,377.5,223.3,89.7,23.2,-13.5,-41,-24.8,-175,510.8
Private creditors,24367.3,6683.6,6098.5,17509.6,17112.2,16674.9,19044.9,19348.3,8386.7
Bonds,25233.8,6947,2587,14308.1,18116.5,20183.3,15838.4,22291.3,8802.9
Commercial banks,-615.5,-21,844.7,-186.7,-496,-347.5,4180.6,-1223.2,77
Other private creditors,-251,-242.4,2666.8,3388.2,-508.3,-3160.9,-974,-1719.8,-493.1
Public sector,22441,5675.6,4261.1,18235.5,16640.1,15769.9,20446.3,18421.1,12365
Official creditors,-1926.3,-1008,-1837.3,725.9,-472.1,-905,1401.3,-927.2,3978.3
Multilateral,347.4,-64,76.8,2623,1594.9,735.8,1785.5,1354.4,2149.4
Concessional,-72.5,-187.1,-222.1,-242,-286.7,-277.5,-268.3,-200.8,-202.6
Bilateral,-2273.8,-944,-1914.2,-1897.1,-2067,-1640.8,-384.1,-2281.6,1828.8
Concessional,377.5,223.3,89.7,23.2,-13.5,-41,-24.8,-175,510.8
Private creditors,24367.3,6683.6,6098.5,17509.6,17112.2,16674.9,19044.9,19348.3,8386.7
Bonds,25233.8,6947,2587,14308.1,18116.5,20183.3,15838.4,22291.3,8802.9
Commercial banks,-615.5,-21,844.7,-186.7,-496,-347.5,4180.6,-1223.2,77
Other private,-251,-242.4,2666.8,3388.2,-508.3,-3160.9,-974,-1719.8,-493.1
General Government,19940.4,2549,-293.6,14592.1,17951.6,18728.4,7963.5,15771.2,5450
Official creditors,-1673,-878.9,-1584,999.9,-192.9,-625.8,1680.6,-648,3978.3
Multilateral,347.4,-64,76.8,2623,1594.9,735.8,1785.5,1354.4,2149.4
Concessional,-72.5,-187.1,-222.1,-242,-286.7,-277.5,-268.3,-200.8,-202.6
Bilateral,-2020.4,-814.9,-1660.8,-1623,-1787.8,-1361.6,-104.9,-2002.4,1828.8
Concessional,377.5,223.3,89.7,23.2,-13.5,-41,-24.8,-175,510.8
Private creditors,21613.3,3427.9,1290.4,13592.1,18144.5,19354.2,6282.9,16419.2,1471.7
Bonds,21963.8,3201,587,13567.3,18166.5,19633.3,6612.8,16584.7,988.6
Commercial banks,-289.5,279.3,755.6,36.4,-58.4,-234.2,-294.3,-128.7,443.7
Other private,-61,-52.4,-52.3,-11.6,36.5,-44.9,-35.6,-36.9,39.4
Other public sector,2636.6,3236.8,4575.7,3676.5,-1264.1,-2911,12530.3,2697.4,6915
Official creditors,-253.4,-129.1,-253.4,-274.1,-279.2,-279.2,-279.2,-279.2,..
Multilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Bilateral,-253.4,-129.1,-253.4,-274.1,-279.2,-279.2,-279.2,-279.2,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,2890,3365.9,4829,3950.6,-984.8,-2631.8,12809.6,2976.7,6915
Bonds,3270,3746,2000,740.8,-50,550,9225.6,5706.6,7814.2
Commercial banks,-190,-190,110,-190,-390,-65.8,4522.4,-1047,-366.6
Other private,-190,-190,2719,3399.8,-544.8,-3116,-938.5,-1682.9,-532.6
Private sector guaranteed by public sector,..,..,..,..,..,..,..,..,..
Official creditors,..,..,..,..,..,..,..,..,..
Multilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Bilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,..,..,..,..,..,..,..,..,..
Bonds,..,..,..,..,..,..,..,..,..
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Private nonguaranteed,12336.7,11769,14485.1,6608.1,-2392.5,15961.8,8735.3,7965,729.5
Bonds,-90.2,2080,500.2,1011.8,-973,1073.5,657.6,1476.1,1690
Commercial banks and other,12426.9,9689,13984.9,5596.3,-1419.5,14888.4,8077.6,6488.9,-960.5
Memo:,,,,,,,,,
IBRD,750.4,876.7,843.9,2194.8,1378.6,802.9,767.3,807,663.6
IDA,-78.7,-106.8,-111.2,-134.5,-157.7,-157.7,-172.8,-190,-191.4
Interest payments,5951.4,7725.6,8276.6,16355.8,9729.9,10594.7,10703.3,12046.2,13530.5
Public and publicly guaranteed,3426.8,3917.7,4443.5,5200.9,5958.9,6579.4,6767.4,7867.1,9360.2
Official creditors,1372.2,1165.6,1298.6,905,1030.3,1085.5,1232.6,1385.8,1043.7
Multilateral,464.7,439.1,387.5,369,464.2,606,773.8,973.6,672
Concessional,30.3,29.4,30,23.3,23.2,18.1,18.6,14.1,11
Bilateral,907.5,726.5,911.2,536,566.1,479.5,458.8,412.2,371.6
Concessional,124.5,105.7,100.9,88.1,96.7,88.4,88.2,86.1,87.4
Private creditors,2054.6,2752.1,3144.8,4295.9,4928.6,5493.9,5534.8,6481.4,8316.6
Bonds,1763.1,2501.1,2899.9,4059.3,4582.7,5186,5285.2,6105.1,8078.9
Commercial banks,184,159.7,167.3,151.6,174.7,141.4,135.2,285.1,212.9
Other private,107.5,91.3,77.6,85,171.2,166.5,114.5,91.2,24.8
Public sector,3426.8,3917.7,4443.5,5200.9,5958.9,6579.4,6767.4,7867.1,9360.2
Official creditors,1372.2,1165.6,1298.6,905,1030.3,1085.5,1232.6,1385.8,1043.7
Multilateral,464.7,439.1,387.5,369,464.2,606,773.8,973.6,672
Concessional,30.3,29.4,30,23.3,23.2,18.1,18.6,14.1,11
Bilateral,907.5,726.5,911.2,536,566.1,479.5,458.8,412.2,371.6
Concessional,124.5,105.7,100.9,88.1,96.7,88.4,88.2,86.1,87.4
Private creditors,2054.6,2752.1,3144.8,4295.9,4928.6,5493.9,5534.8,6481.4,8316.6
Bonds,1763.1,2501.1,2899.9,4059.3,4582.7,5186,5285.2,6105.1,8078.9
Commercial banks,184,159.7,167.3,151.6,174.7,141.4,135.2,285.1,212.9
Other private,107.5,91.3,77.6,85,171.2,166.5,114.5,91.2,24.8
General Government,2753.3,3134.4,3520.8,4234.7,4906.1,5520.2,5873.4,6280.6,6741.8
Official creditors,1293.6,1097.2,1240.4,852.9,988.5,1054.8,1213,1377.4,1043.7
Multilateral,464.7,439.1,387.5,369,464.2,606,773.8,973.6,672
Concessional,30.3,29.4,30,23.3,23.2,18.1,18.6,14.1,11
Bilateral,828.9,658.1,852.9,483.9,524.2,448.8,439.3,403.8,371.6
Concessional,124.5,105.7,100.9,88.1,96.7,88.4,88.2,86.1,87.4
Private creditors,1459.6,2037.2,2280.5,3381.8,3917.7,4465.4,4660.4,4903.2,5698.1
Bonds,1371.7,1963,2185.8,3291.8,3792,4359.6,4549.9,4807.6,5605.3
Commercial banks,76.1,66.3,88.1,85.8,119.6,101.2,105.8,91.1,89.6
Other private,11.8,7.9,6.6,4.2,6,4.6,4.7,4.5,3.1
Other public sector,668.7,779.7,919.8,963.6,1049.7,1056.3,891.8,1585.2,2618.5
Official creditors,78.5,68.4,58.3,52.1,41.9,30.7,19.5,8.4,..
Multilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Bilateral,78.5,68.4,58.3,52.1,41.9,30.7,19.5,8.4,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,590.2,711.3,861.6,911.5,1007.8,1025.6,872.2,1576.8,2618.5
Bonds,391.4,538.2,714.1,767.5,790.6,826.4,735.2,1297.5,2473.6
Commercial banks,103.1,89.8,76.5,63.2,52,37.2,27.1,192.7,123.3
Other private,95.7,83.4,71,80.8,165.2,161.9,109.9,86.6,21.6
Private sector guaranteed by public sector,..,..,..,..,..,..,..,..,..
Official creditors,..,..,..,..,..,..,..,..,..
Multilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Bilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,..,..,..,..,..,..,..,..,..
Bonds,..,..,..,..,..,..,..,..,..
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Private nonguaranteed,2524.5,3807.9,3833.1,11154.9,3771,4015.3,3935.9,4179,4170.3
Bonds,1151.8,1130.8,1233.1,1258.6,1196.8,1070.9,945,938,1066.2
Commercial banks and other,1372.7,2677.1,2600.1,9896.3,2574.2,2944.4,2990.9,3241,3104.1
Memo:,,,,,,,,,
IBRD,267.7,260.7,241.1,241,298.2,392.1,494.2,614,465.6
